job_type,job_family,sub_family,single_role,career_level,country
Clinical Support,Technician,Lab,Specialist,Senior Manager,Canada
Clinical Support,technician###,Lab,Manager,Support Manager,US
Management,Operations,Logistics,Specialist,Support,Germany
Non-clinical Professional,Finance,Tax,Director,Senior Manager,UK
Management,Operations,Logistics,Manager,Manager,UK
Non-clinical Professional,HR,Recruiting,Manager,Senior Manager,UK
Clinical Support,Therapy,Physical,Coordinator,Senior,US
Management,Strategy,Planning,Analyst,Senior,UK
Non-clinical Professional,HR,Recruiting,Manager,Support Manager,US
Registered Nurse,Oncology,Chemotherapy,Specialist,Support,Canada
Non-clinical Professional,Finance,Budgeting,Director,Junior,US
Non-clinical Professional,Finance,Budgeting,Analyst,Senior Manager,UK
Non-clinical Professional,HR,Compensation,Coordinator,Support Manager,Germany
Clinical Support,Therapy,Occupational,Manager,Senior Manager,US
Management,Strategy,Planning,Manager,Senior Manager,Germany
Management,Operations,Logistics,Director,Manager,UK
Registered Nurse,ER,Trauma,Specialist,Junior,US
Management,Strategy,Analytics,Analyst,Senior Manager,US
Registered Nurse,Pediatrics,NICU,Manager,Junior,US
Non-clinical Professional,Finance,Tax,Manager,Manager,UK
Non-clinical Professional,Marketing,Product,Manager,Junior,Canada
Clinical Support,Therapy,Occupational,Coordinator,Senior Manager,Canada
Management,Operations,Logistics,Specialist,Senior Manager,UK
Management,Operations,Logistics,Specialist,Senior Manager,UK
Non-clinical Professional,HR,Compensation,Director,Support,Germany
Registered Nurse,ER,Triage,Director,Junior,Canada
Management,Operations,Facilities,Coordinator,Junior,Germany
Registered Nurse,Pediatrics,NICU,Manager,Junior,US
Non-clinical Professional,HR,Compensation,Manager,Senior Manager,Canada
Registered Nurse,ER,Triage,Director,Support,Germany
Non-clinical Professional,Finance,Accounting,Manager,Senior,US
Non-clinical Professional,Finance,Budgeting,Manager,Support Manager,UK
Registered Nurse,Pediatrics,NICU,Manager,Manager,Germany
Clinical Support,Therapy,Occupational,Specialist,Support Manager,Germany
Non-clinical Professional,HR,Compensation,Specialist,Support Manager,Canada
Management,Operations,Facilities,Analyst,Senior Manager,UK
Management,Operations,Facilities,Analyst,Junior,UK
Non-clinical Professional,Finance,Tax,Director,Senior,US
Registered Nurse,ER,Triage,Manager,Junior,Germany
Registered Nurse,Oncology,Chemotherapy,Director,Junior,UK
Registered Nurse,Pediatrics,General,Manager,Senior,US
Non-clinical Professional,HR,Compensation,Director,Support,US
Registered Nurse,Pediatrics,NICU,Manager,Senior Manager,US
Non-clinical Professional,HR,Compensation,Specialist,Manager,US
Management,Strategy,Planning,Analyst,Support Manager,UK
Registered Nurse,Pediatrics,NICU,Manager,Manager,Germany
Registered Nurse,ER,Trauma,Analyst,Manager,UK
Registered Nurse,Pediatrics,General,Specialist,Junior,Germany
Non-clinical Professional,HR,Compensation,Director,Support,UK
Clinical Support,Technician,Radiology,Coordinator,Senior,UK
Clinical Support,Therapy,Physical,Manager,Senior Manager,UK
Clinical Support,Technician,Lab,Specialist,Manager,Canada
Registered Nurse,ER,Trauma,Specialist,Junior,UK
Management,Operations,Facilities,Coordinator,Manager,UK
Clinical Support,Therapy,Occupational,Coordinator,Senior Manager,US
Clinical Support,Technician,Radiology,Specialist,Junior,UK
Non-clinical Professional,HR,Compensation,Analyst,Senior,US
Registered Nurse,ER,Trauma,Coordinator,Senior,UK
Non-clinical Professional,Marketing,Product,Analyst,Manager,Germany
Registered Nurse,Pediatrics,General,Director,Senior,Germany
Management,Operations,Logistics,Director,Support,US
Clinical Support,Therapy,Physical,Analyst,Junior,Germany
Clinical Support,Technician,Lab,Specialist,Support Manager,US
Management,Strategy,Analytics,Coordinator,Support,Canada
Registered Nurse,ER,Trauma,Analyst,Senior Manager,Canada
Non-clinical Professional,Marketing,Digital,Manager,Junior,Germany
Clinical Support,Therapy,Occupational,Coordinator,Senior Manager,US
Non-clinical Professional,finance###,Accounting,Director,Support,US
Management,Operations,Facilities,Analyst,Support,Germany
Non-clinical Professional,Marketing,Digital,Specialist,Junior,Germany
Non-clinical Professional,Finance,Budgeting,Analyst,Senior Manager,UK
Non-clinical Professional,Finance,Budgeting,Analyst,Junior,US
Registered Nurse,Pediatrics,NICU,Manager,Support,UK
Management,operations###,Facilities,Manager,Support Manager,Germany
Clinical Support,Therapy,Occupational,Director,Senior Manager,US
Non-clinical Professional,Marketing,Product,Coordinator,Manager,Canada
Non-clinical Professional,Finance,Tax,Specialist,Junior,Canada
Non-clinical Professional,Marketing,Product,Manager,Manager,US
Management,Operations,Logistics,Coordinator,Junior,US
Non-clinical Professional,HR,Recruiting,Director,Senior Manager,US
Clinical Support,Therapy,Physical,Director,Manager,Germany
Non-clinical Professional,HR,Recruiting,Manager,Junior,Germany
Clinical Support,Therapy,Occupational,Director,Senior,UK
Non-clinical Professional,HR,Recruiting,Manager,Manager,UK
Registered Nurse,ER,Trauma,Specialist,Support Manager,US
Management,Operations,Facilities,Manager,Support,Germany
Non-clinical Professional,HR,Compensation,Coordinator,Senior,US
Registered Nurse,ER,Triage,Specialist,Support Manager,Germany
Registered Nurse,Oncology,Chemotherapy,Coordinator,Manager,US
,Strategy,Analytics,Specialist,Junior,Canada
Registered Nurse,ER,Triage,Coordinator,Senior Manager,Germany
Non-clinical Professional,Finance,Accounting,Specialist,Senior Manager,US
Non-clinical Professional,Finance,Tax,Analyst,Support Manager,UK
Non-clinical Professional,Marketing,Product,Coordinator,Manager,UK
Non-clinical Professional,Marketing,Digital,Director,Senior,UK
Management,Operations,Logistics,Coordinator,Support Manager,Germany
Registered Nurse,Pediatrics,  General  ,Coordinator,Junior,UK
Registered Nurse,Pediatrics,NICU,Director,Manager,Germany
Non-clinical Professional,Marketing,Digital,Coordinator,Support Manager,UK
Management,Operations,Logistics,Manager,Senior Manager,UK
Clinical Support,Therapy,Physical,Specialist,Senior Manager,US
Non-clinical Professional,HR,Compensation,Coordinator,Support,Germany
Registered Nurse,Pediatrics,NICU,Coordinator,Support Manager,US
Non-clinical Professional,Finance,Budgeting,Specialist,Senior Manager,Canada
Management,Strategy,Planning,Manager,Support,US
Management,Operations,Facilities,Specialist,Junior,Canada
Non-clinical Professional,HR,Recruiting,Analyst,Manager,Germany
Clinical Support,Technician,Radiology,Manager,Senior,US
Registered Nurse,Pediatrics,NICU,Manager,Junior,US
Registered Nurse,ER,Trauma,Specialist,Senior Manager,UK
Non-clinical Professional,Marketing,Digital,Coordinator,Support Manager,UK
Clinical Support,Technician,Lab,Specialist,Support Manager,Canada
Management,Strategy,Analytics,Specialist,Support,Germany
Management,Operations,Logistics,Manager,Manager,US
Management,Operations,Facilities,Specialist,Senior,Canada
Registered Nurse,Pediatrics,General,Manager,Support Manager,Canada
Clinical Support,Technician,Radiology,Analyst,Junior,Canada
Management,Strategy,Analytics,Analyst,Senior Manager,UK
Non-clinical Professional,HR,Compensation,Coordinator,Junior,US
Non-clinical Professional,Finance,Tax,Specialist,Junior,UK
Management,Strategy,Analytics,Coordinator,Junior,Canada
Management,Operations,Logistics,Manager,Support,Canada
Non-clinical Professional,HR,Recruiting,Director,Support Manager,US
Registered Nurse,Pediatrics,General,Manager,Support,US
Clinical Support,Technician,Lab,Manager,Support,Germany
Management,Strategy,Planning,Director,Senior,Germany
Management,operations###,Facilities,Coordinator,Support Manager,US
Management,Strategy,Analytics,Director,Manager,US
Clinical Support,Technician,Radiology,Specialist,Junior,Germany
Non-clinical Professional,HR,Recruiting,Director,Manager,US
Management,Strategy,Analytics,Coordinator,Manager,UK
Management,Strategy,Planning,Manager,Manager,US
Registered Nurse,ER,Triage,Analyst,Junior,UK
Non-clinical Professional,Finance,Accounting,Specialist,Senior,Canada
Clinical Support,Technician,Lab,Director,Support,US
Management,Strategy,Planning,Director,Senior Manager,Germany
Management,Strategy,Analytics,Manager,Senior Manager,Germany
Registered Nurse,Pediatrics,General,Coordinator,Support Manager,Canada
Clinical Support,Therapy,Physical,Coordinator,Senior Manager,Canada
Registered Nurse,ER,Trauma,Coordinator,Senior Manager,US
Registered Nurse,Pediatrics,NICU,Director,Support Manager,US
Management,Operations,Facilities,Coordinator,Junior,US
Management,Strategy,Planning,Coordinator,Senior,Germany
Registered Nurse,ER,Trauma,Director,Manager,US
Clinical Support,Technician,Lab,Director123,Support,US
Non-clinical Professional,Marketing,Product,Manager,Senior,UK
Registered Nurse,Pediatrics,NICU,Director,Senior Manager,Canada
Registered Nurse,Oncology,Chemotherapy,Manager,Support Manager,UK
Clinical Support,Technician,Radiology,Specialist,Manager,US
Registered Nurse,ER,Trauma,Manager,Senior,Canada
Non-clinical Professional,HR,Recruiting,Specialist,Support,Canada
Registered Nurse,ER,Trauma,Director,Senior,Germany
Management,Strategy,Analytics,Analyst,Support Manager,US
Non-clinical Professional,Finance,Budgeting,Director,Support,UK
Registered Nurse,Oncology,Chemotherapy,Manager,Manager,Canada
Clinical Support,Technician,Lab,Specialist,Senior Manager,US
Registered Nurse,Pediatrics,NICU,Manager,Support,US
Clinical Support,Therapy,Physical,Director,Support Manager,Germany
Registered Nurse,ER,Triage,Specialist,,UK
Management,Operations,Logistics,Coordinator,Senior,UK
Registered Nurse,Oncology,Radiation,Specialist,Senior Manager,Canada
Management,Operations,Facilities,Director,Support,US
Non-clinical Professional,HR,Compensation,Coordinator,Support,UK
Non-clinical Professional,Finance,Accounting,Manager,Senior,Canada
Clinical Support,Therapy,Occupational,Coordinator,Manager,US
Management,Strategy,Planning,Manager,Manager,US
Non-clinical Professional,HR,Compensation,Manager,Support,Germany
Registered Nurse,ER,Triage,Manager,Senior Manager,Germany
Non-clinical Professional,Marketing,Digital,Director,Junior,Canada
Non-clinical Professional,Marketing,Digital,Analyst,Senior,UK
Management,Strategy,Planning,Specialist,Senior Manager,Canada
Management,Operations,Logistics,Coordinator,Support Manager,Germany
Clinical Support,Technician,Radiology,Analyst,Manager,UK
Non-clinical Professional,Marketing,Product,Director,Senior,Canada
Registered Nurse,ER,Trauma,Coordinator,Senior Manager,UK
Clinical Support,Technician,Lab,Manager,Senior,Canada
Registered Nurse,Oncology,Chemotherapy,Specialist,Senior,UK
Non-clinical Professional,HR,Compensation,Coordinator,Junior,Canada
Non-clinical Professional,Finance,Accounting,Specialist,Manager,Germany
Registered Nurse,ER,Triage,Coordinator,Senior,Canada
Management,Operations,Logistics,Coordinator,Junior,Germany
,Marketing,Product,Director,Senior,US
Clinical Support,Technician,Lab,Analyst,Support Manager,UK
Non-clinical Professional,HR,Compensation,Specialist,Senior Manager,Germany
Non-clinical Professional,Finance,Accounting,Manager,Junior,Canada
Registered Nurse,Oncology,Chemotherapy,Coordinator,Senior,UK
Registered Nurse,Oncology,Chemotherapy,Specialist,Support Manager,US
Clinical Support,Therapy,Physical,Analyst,Support,UK
Registered Nurse,Oncology,Radiation,Director,Senior Manager,Canada
Management,Strategy,Analytics,Coordinator123,Senior Manager,UK
Non-clinical Professional,HR,Compensation,Analyst,Senior,UK
Management,Strategy,Analytics,Director,Senior,Canada
Registered Nurse,Pediatrics,NICU,Coordinator,Junior,US
Registered Nurse,ER,Trauma,Specialist,Junior,Germany
Registered Nurse,Pediatrics,NICU,Analyst,Support,Canada
Management,Operations,Logistics,Analyst,Senior,US
Management,Operations,Logistics,Manager,Support,US
Non-clinical Professional,Finance,Budgeting,Specialist,Manager,Canada
Registered Nurse,Pediatrics,NICU,Analyst,Senior Manager,US
Registered Nurse,ER,Triage,Analyst,Junior,Canada
Clinical Support,Technician,Lab,Director,Senior,Germany
Clinical Support,Technician,Radiology,Director,Support,Germany
Management,Operations,Facilities,Director,Manager,US
Registered Nurse,Oncology,Radiation,Manager,Senior Manager,Germany
Non-clinical Professional,HR,Recruiting,Analyst,Manager,UnknownLand
Registered Nurse,ER,Triage,Director,Senior,Germany
Clinical Support,Therapy,Occupational,Analyst,Senior,Canada
Non-clinical Professional,Finance,Tax,Coordinator,Senior,US
Non-clinical Professional,Finance,Accounting,Coordinator,Support Manager,Germany
Registered Nurse,Pediatrics,General,Analyst,Support Manager,Canada
Registered Nurse,Pediatrics,NICU,Director,Senior,US
Clinical Support,Technician,Lab,Director,Senior Manager,Germany
Management,Strategy,Planning,Manager,Manager,Canada
Registered Nurse,Oncology,Chemotherapy,Coordinator,Support Manager,Canada
Clinical Support,Therapy,Physical,Manager,Support,Canada
Management,Strategy,Planning,Manager,Junior,US
Registered Nurse,Oncology,Chemotherapy,Analyst,Junior,UK
Management,Strategy,Planning,Director,Senior Manager,Canada
Clinical Support,technician###,Radiology,Manager,Junior,US
Registered Nurse,Oncology,Chemotherapy,Director,Support Manager,UK
Clinical Support,Technician,Lab,Specialist,Senior,Germany
Management,Strategy,Planning,Director,,Germany
