row,error
91,Row 91: Missing or empty 'job_type'
160,Row 160: Missing or empty 'career_level'
183,Row 183: Missing or empty 'job_type'
223,Row 223: Missing or empty 'career_level'
387,Row 387: Missing or empty 'job_type'
477,Row 477: Missing or empty 'job_type'
513,Row 513: Missing or empty 'job_type'
630,Row 630: Missing or empty 'job_type'
643,Row 643: Missing or empty 'job_type'
765,Row 765: Missing or empty 'career_level'
775,Row 775: Missing or empty 'job_type'
838,Row 838: Missing or empty 'career_level'
889,Row 889: Missing or empty 'career_level'
899,Row 899: Missing or empty 'job_type'
901,Row 901: Missing or empty 'job_type'
915,Row 915: Missing or empty 'career_level'
1133,Row 1133: Missing or empty 'career_level'
1134,Row 1134: Missing or empty 'job_type'
1534,Row 1534: Missing or empty 'job_type'
1599,Row 1599: Missing or empty 'job_type'
1726,Row 1726: Missing or empty 'job_type'
1821,Row 1821: Missing or empty 'job_type'
1900,Row 1900: Missing or empty 'job_type'
1928,Row 1928: Missing or empty 'career_level'
1941,Row 1941: Missing or empty 'career_level'
1978,Row 1978: Missing or empty 'job_type'
2015,Row 2015: Missing or empty 'job_type'
2097,Row 2097: Missing or empty 'job_type'
2104,Row 2104: Missing or empty 'career_level'
2201,Row 2201: Missing or empty 'career_level'
2368,Row 2368: Missing or empty 'job_type'
2415,Row 2415: Missing or empty 'career_level'
2463,Row 2463: Missing or empty 'job_type'
2510,Row 2510: Missing or empty 'career_level'
2711,Row 2711: Missing or empty 'job_type'
2729,Row 2729: Missing or empty 'job_type'
2802,Row 2802: Missing or empty 'job_type'
2959,Row 2959: Missing or empty 'job_type'
3125,Row 3125: Missing or empty 'career_level'
3145,Row 3145: Missing or empty 'job_type'
3265,Row 3265: Missing or empty 'career_level'
3388,Row 3388: Missing or empty 'job_type'
3506,Row 3506: Missing or empty 'job_type'
3642,Row 3642: Missing or empty 'job_type'
3672,Row 3672: Missing or empty 'career_level'
3879,Row 3879: Missing or empty 'career_level'
3931,Row 3931: Missing or empty 'career_level'
3934,Row 3934: Missing or empty 'job_type'
3939,Row 3939: Missing or empty 'job_type'
3998,Row 3998: Missing or empty 'job_type'
4019,Row 4019: Missing or empty 'job_type'
4241,Row 4241: Missing or empty 'job_type'
4331,Row 4331: Missing or empty 'job_type'
4452,Row 4452: Missing or empty 'job_type'
4461,Row 4461: Missing or empty 'job_type'
